City,Date,Day_of_Week,Latitude,Longitude,Ride_Distance_KM,Ride_Type,Weather,Event,Payment_Type,Available_Drivers,Demand_Level,Surge_Multiplier,Final_Fare,Hour_of_Day,Is_Weekend,Driver_Performance_Score,Driver_XP,Ride_Priority,Fare_Acceptance,Cancellation_Rate,Time_of_Day,Demand_Score,Driver_Availability,Traffic_Delay,Cancellation_Probability,Driver_Trust_Score,Rider_Trust_Score,Leaderboard_Rank
Chennai,04-06-2024,1,13.10852892,80.27926327,4.22,Premium,Cloudy,None,Card,0.276647,0.514157,1.36,103.93,6,0,96.95,560,97.86,0.9809,0,Afternoon,50,88,0,0.1,100,40,Top Leaderboard
Bangalore,06-08-2024,1,12.95266426,77.63133546,19.44,Luxury,Clear,Political Rally,UPI,0.873406,0.867727,1,290.72,18,0,89.25,657,90.97,0.816889,0.05,Afternoon,80,62,15,0.1,100,75,Below Average
Bangalore,17-10-2024,3,12.9876068,77.57431595,5.67,Premium,Rainy,IPL Match,Card,0.546593,0.855747,1.46,163.1,22,0,95.59,511,96.91,0.988674,0,Night,100,77,15,0.3,100,100,Above Average
Hyderabad,05-02-2025,2,17.41416462,78.53526398,8.83,Luxury,Clear,IPL Match,Card,0.805272,0.863701,1.09,121.5,19,0,83.68,952,88.28,0.859508,0.01,Night,80,92,15,0.1,100,70,Below Average
Bangalore,21-01-2025,1,12.97915114,77.57719905,17.3,Economy,Clear,IPL Match,Cash,0.633067,0.851982,1.33,349.66,7,0,93.26,949,93.18,0.988236,0.07,Morning Peak,95,61,25,0.1,100,95,Below Average
Chennai,24-08-2024,5,13.06867747,80.28634771,14.55,Premium,Cloudy,Festival,UPI,0.564806,0.782244,1.33,252.77,21,1,85.91,540,87.44,0.870945,0.09,Night,80,61,15,0.1,100,60,Below Average
Hyderabad,03-09-2024,1,17.40992553,78.53398303,14.83,Luxury,Cloudy,IPL Match,Cash,0.29209,0.682166,1.59,263.1,2,0,85.7,642,87.59,0.809885,0.08,Morning Peak,95,70,25,0.1,100,35,Below Average
Bangalore,19-08-2024,0,12.97619125,77.5612449,10.02,Luxury,Rainy,Festival,Card,0.282533,0.548705,1.4,235.56,5,0,99.07,605,97.85,0.88619,0.05,Afternoon,100,83,15,0.3,100,100,Below Average
Hyderabad,23-10-2024,2,17.41509567,78.44957102,7.28,Premium,Stormy,None,UPI,0.428731,0.553599,1.19,116.05,14,0,95.39,688,95.27,0.774405,0.05,Afternoon,70,48,0,0.5,100,85,Below Average
Hyderabad,24-02-2025,0,17.40705306,78.53389611,0.74,Luxury,Stormy,Festival,UPI,0.964969,0.699352,1,38.66,12,0,88.71,764,89.7,0.718807,0.08,Morning Peak,100,47,25,0.3,35.8,0,Below Average
Delhi,09-10-2024,2,28.65520432,77.07680883,9.75,Economy,Rainy,IPL Match,Card,0.972686,0.525379,1,132.5,16,0,99.28,599,97.4,0.946208,0.07,Morning Peak,100,69,25,0.3,100,100,Below Average
Mumbai,08-10-2024,1,19.04037868,72.91061502,1.44,Premium,Stormy,Concert,UPI,0.354088,0.9438,1.88,107.69,18,0,80.52,779,84.86,0.755817,0.05,Afternoon,100,94,15,0.3,22.2,0,Below Average
Hyderabad,15-11-2024,4,17.34270559,78.51667002,9.42,Premium,Rainy,Political Rally,UPI,0.708405,0.978895,1.41,164.66,17,0,97.37,892,97.26,0.927101,0.03,Evening Peak,100,45,25,0.3,100,100,Below Average
Bangalore,08-05-2024,2,12.97208609,77.6038366,2.14,Luxury,Clear,Concert,Card,0.887981,0.89158,1.01,66.48,18,0,96.92,817,95.74,0.916958,0.07,Night,80,100,15,0.1,100,100,Below Average
Bangalore,02-03-2025,6,13.00365362,77.5887287,7.35,Premium,Rainy,IPL Match,UPI,0.74392,0.491081,1,133.55,23,1,97.05,978,97.33,0.884617,0.02,Evening Peak,100,100,25,0.3,100,100,Below Average
Chennai,27-04-2024,5,13.05973386,80.3200475,9.84,Luxury,Rainy,Concert,Card,0.867212,0.932041,1.1,152.06,12,1,84.42,790,87.59,0.729426,0.05,Afternoon,100,91,15,0.3,100,100,Below Average
Delhi,05-10-2024,5,28.75370543,77.05421233,16.54,Economy,Rainy,Festival,UPI,0.691553,0.857813,1.25,250.5,23,1,87.49,541,89.74,0.835482,0.05,Night,100,38,15,0.3,100,100,Below Average
Mumbai,23-09-2024,0,19.11160688,72.88030298,16.73,Luxury,Cloudy,Political Rally,UPI,0.250786,0.802653,1.83,440.59,18,0,83.71,820,87.1,0.942705,0.05,Night,80,91,15,0.1,100,80,Below Average
Chennai,26-02-2025,2,13.0384927,80.24826161,15.03,Premium,Cloudy,IPL Match,Cash,0.518071,0.491734,1,195.33,6,0,86.95,621,90.26,0.976617,0.02,Night,80,73,15,0.1,100,5,Below Average
Delhi,09-01-2025,3,28.72366333,77.12868868,10.09,Economy,Rainy,Concert,Cash,0.21327,0.851594,1.96,266.36,10,0,83.43,650,87.2,0.918074,0.04,Afternoon,100,47,15,0.3,100,100,Below Average
Delhi,31-10-2024,3,28.74080504,77.05411487,5.82,Premium,Rainy,None,Card,0.741567,0.797578,1.08,100.66,0,0,88.68,620,91.78,0.811849,0.01,Night,70,56,0,0.5,100,100,Below Average
Mumbai,20-07-2024,5,19.09147432,72.88208622,6.66,Economy,Stormy,None,Cash,0.730892,0.855682,1.19,142.7,6,1,93.11,525,93.68,0.992491,0.05,Night,70,34,0,0.5,100,100,Below Average
Delhi,04-06-2024,1,28.66746769,77.12995861,8.03,Premium,Rainy,None,Card,0.363149,0.506734,1.22,140.67,1,0,85.19,569,89.03,0.776086,0.02,Evening Peak,85,66,10,0.3,91.6,0,Below Average
Mumbai,31-08-2024,5,19.03476143,72.83728339,15.29,Luxury,Cloudy,IPL Match,UPI,0.201976,0.540274,1.51,337.45,5,1,97.93,659,96.45,0.763303,0.07,Afternoon,80,84,15,0.1,100,100,Below Average
Chennai,28-06-2024,4,13.10971833,80.25824606,11.5,Premium,Stormy,Political Rally,Cash,0.662893,0.629727,1,156.5,5,0,91,597,91.9,0.786138,0.06,Night,100,78,15,0.3,100,100,Below Average
Delhi,12-03-2025,2,28.67401062,77.13156205,10.6,Economy,Clear,None,UPI,0.902595,0.555422,1,141,5,0,86.09,525,88.76,0.944416,0.05,Night,50,80,0,0.1,100,100,Below Average
Delhi,12-03-2025,2,28.72828016,77.07721101,14.99,Premium,Cloudy,Political Rally,Cash,0.855978,0.566274,1,184.9,23,0,97.28,927,98.1,0.766531,0,Evening Peak,95,32,25,0.2,100,100,Top Leaderboard
Delhi,14-04-2024,6,28.67750977,77.05539002,10.44,Economy,Clear,Concert,Card,0.243789,0.625519,1.57,218.86,2,1,84.39,580,89.07,0.856408,0,Morning Peak,95,50,25,0.2,100,0,Below Average
Delhi,08-06-2024,5,28.74115675,77.14291358,8.97,Premium,Rainy,None,Card,0.263059,0.68273,1.63,203.26,18,1,89.26,662,91.28,0.712101,0.04,Evening Peak,85,65,10,0.3,100,0,Below Average
Chennai,26-02-2025,2,13.08763514,80.27285232,10.65,Luxury,Rainy,Political Rally,UPI,0.459793,0.617771,1.24,182.47,15,0,87.03,938,88.82,0.886274,0.07,Evening Peak,100,31,25,0.3,100,100,Below Average
Hyderabad,17-10-2024,3,17.39492276,78.50415636,5.31,Premium,Clear,None,Cash,0.316251,0.960409,1.97,157.19,10,0,99.39,683,99.27,0.775858,0.01,Night,50,58,0,0.1,100,100,Below Average
Delhi,24-12-2024,1,28.72671568,77.14029961,10.5,Luxury,Clear,Festival,UPI,0.461674,0.55691,1.14,159.6,13,0,99.19,714,97.03,0.947737,0.08,Morning Peak,95,71,25,0.1,100,60,Below Average
Mumbai,29-03-2024,4,19.0902428,72.91251388,17.42,Premium,Cloudy,IPL Match,UPI,0.742044,0.687674,1,249.04,12,0,90.06,708,90.94,0.76098,0.07,Afternoon,80,57,15,0.1,100,100,Below Average
Chennai,06-05-2024,0,13.10134136,80.24683027,10.94,Premium,Stormy,Political Rally,Cash,0.357047,0.411524,1.08,162.37,13,0,99.96,869,97.27,0.929722,0.09,Morning Peak,100,36,25,0.3,100,60,Below Average
Delhi,12-03-2025,2,28.6584665,77.07871974,3.33,Luxury,Cloudy,IPL Match,Card,0.706406,0.792657,1.13,77.18,19,0,81.07,646,86.15,0.825531,0.02,Evening Peak,95,74,25,0.1,100,0,Below Average
Chennai,05-08-2024,0,13.11783756,80.23094384,13.52,Luxury,Clear,IPL Match,Cash,0.469927,0.820176,1.53,273.44,1,0,94.05,982,94.93,0.74377,0.03,Afternoon,80,40,15,0.2,100,45,Below Average
Bangalore,21-05-2024,1,12.95569229,77.57333422,9.09,Premium,Stormy,Festival,Cash,0.65632,0.934673,1.42,221.76,16,0,85.77,877,88.54,0.847509,0.05,Night,100,65,15,0.3,100,0,Below Average
Mumbai,14-04-2024,6,19.1258928,72.9255998,15.8,Luxury,Cloudy,Political Rally,UPI,0.617328,0.42315,1,229.6,6,1,96.44,890,96.61,0.795994,0.03,Afternoon,80,75,15,0.1,100,100,Below Average
Hyderabad,20-01-2025,0,17.41342474,78.47361394,8.27,Economy,Stormy,Concert,Cash,0.794834,0.665494,1,106.43,4,0,90.05,806,92.44,0.83912,0.02,Night,100,65,15,0.3,100,100,Below Average
Chennai,06-09-2024,4,13.09531571,80.2463227,8.82,Luxury,Rainy,IPL Match,Cash,0.262096,0.421256,1.24,157.5,4,0,80.43,698,85.7,0.750314,0.02,Night,100,50,15,0.3,100,100,Below Average
Chennai,16-03-2025,6,13.04748949,80.27776981,10.28,Premium,Clear,Political Rally,UPI,0.828664,0.741636,1,143.08,2,1,97.99,843,97.09,0.76638,0.05,Evening Peak,95,89,25,0.1,100,75,Below Average
Mumbai,28-08-2024,2,19.06459335,72.88526761,11.03,Luxury,Cloudy,IPL Match,UPI,0.576444,0.636955,1.09,187.87,6,0,89.43,973,90.2,0.758221,0.08,Afternoon,80,92,15,0.1,100,100,Below Average
Mumbai,10-03-2025,0,19.03775161,72.85883494,15.95,Premium,Cloudy,None,Cash,0.921209,0.870333,1,231.4,9,0,84.44,700,88.51,0.924598,0.02,Morning Peak,65,88,10,0.1,100,40,Below Average
Mumbai,08-03-2025,5,19.07523932,72.91354495,2.94,Luxury,Cloudy,None,Card,0.558765,0.75296,1.29,97.11,3,1,90.55,790,90.68,0.831588,0.09,Evening Peak,65,64,10,0.1,100,5,Below Average
Delhi,19-08-2024,0,28.74550715,77.06417384,4.71,Economy,Rainy,None,Cash,0.847237,0.538732,1,82.1,7,0,86.95,761,88.16,0.891758,0.09,Morning Peak,85,81,10,0.3,100,100,Below Average
Bangalore,11-08-2024,6,13.01726742,77.62553431,1.74,Economy,Stormy,IPL Match,UPI,0.76847,0.814136,1.07,64.86,15,1,99.07,518,97.85,0.82665,0.05,Evening Peak,100,31,25,0.3,4.3,0,Below Average
Chennai,04-02-2025,1,13.07132541,80.25197146,4.29,Economy,Clear,IPL Match,Card,0.993116,0.970905,1,77.19,9,0,91.58,553,92.61,0.78726,0.05,Afternoon,80,32,15,0.2,100,100,Below Average
Mumbai,25-01-2025,5,19.07595379,72.84029405,19.52,Luxury,Rainy,None,Card,0.83873,0.467224,1,274.24,16,1,97.45,713,97.92,0.885368,0.01,Afternoon,70,51,0,0.5,100,85,Below Average
Chennai,30-06-2024,6,13.07277747,80.25506018,18.46,Premium,Rainy,Festival,Cash,0.988807,0.587992,1,233.06,4,1,82.95,585,85.06,0.704015,0.1,Evening Peak,100,94,25,0.3,100,0,Below Average
Mumbai,02-06-2024,6,19.06913751,72.90874983,17.82,Premium,Cloudy,Concert,Cash,0.24777,0.718904,1.71,434.07,6,1,80.53,771,85.47,0.876763,0.03,Night,80,84,15,0.1,100,40,Below Average
Hyderabad,16-03-2025,6,17.38870505,78.47247268,15.8,Premium,Cloudy,Festival,Cash,0.708246,0.427177,1,174.2,2,1,85.57,699,87.8,0.790067,0.07,Night,80,37,15,0.2,100,100,Below Average
Delhi,06-10-2024,6,28.68160024,77.12344029,14.54,Luxury,Stormy,Concert,UPI,0.293041,0.881643,1.88,339.15,10,1,91.72,917,93.3,0.821561,0.03,Afternoon,100,91,15,0.3,100,100,Below Average
Delhi,04-06-2024,1,28.71078024,77.10779304,7.94,Luxury,Clear,Festival,Card,0.946917,0.925597,1,114.4,21,0,95.42,674,96.19,0.836344,0.02,Afternoon,80,83,15,0.1,100,65,Below Average
Chennai,23-09-2024,0,13.07275077,80.24837064,12.64,Luxury,Clear,Political Rally,Cash,0.876318,0.734552,1,169.04,11,0,98.44,777,97.41,0.886181,0.05,Morning Peak,95,86,25,0.1,100,25,Below Average
Mumbai,27-05-2024,0,19.1106745,72.84459037,2.31,Economy,Rainy,Festival,Card,0.326725,0.913308,1.88,127.31,9,0,88.84,955,90.39,0.755199,0.06,Night,100,71,15,0.3,100,100,Below Average
Delhi,16-07-2024,1,28.74530199,77.08307091,18.36,Luxury,Clear,Political Rally,Cash,0.775146,0.813654,1.06,231.72,17,0,85.89,939,89.52,0.976353,0.02,Morning Peak,95,80,25,0.1,100,60,Below Average
Mumbai,07-03-2025,4,19.0331,72.84634377,4.44,Luxury,Stormy,Festival,Cash,0.79305,0.442439,1,93.28,9,0,82.46,758,87.42,0.824855,0.01,Evening Peak,100,77,25,0.3,100,100,Below Average
Hyderabad,03-01-2025,4,17.3571971,78.50676806,6.4,Economy,Rainy,IPL Match,Card,0.815908,0.569822,1,89.6,11,0,81.57,790,85.6,0.8671,0.05,Afternoon,100,85,15,0.3,100,100,Below Average
Delhi,23-10-2024,2,28.65666731,77.08115101,4.06,Premium,Clear,IPL Match,Cash,0.412171,0.67345,1.39,105.08,4,0,85.83,706,88.28,0.945783,0.06,Morning Peak,95,50,25,0.2,100,70,Below Average
Bangalore,07-09-2024,5,12.94597951,77.64087478,11.49,Premium,Stormy,IPL Match,Cash,0.853638,0.800547,1,187.37,0,1,85.17,645,86.92,0.906926,0.09,Afternoon,100,94,15,0.3,100,25,Below Average
Chennai,03-07-2024,2,13.04952956,80.24213832,17.59,Luxury,Clear,Political Rally,Card,0.562956,0.581985,1.03,230.19,18,0,90.89,899,91.22,0.900412,0.08,Evening Peak,95,62,25,0.1,100,90,Below Average
Bangalore,07-06-2024,4,12.92899075,77.61780874,13.89,Economy,Cloudy,None,Cash,0.304416,0.975841,2.01,439.33,1,0,80.08,607,83.96,0.898881,0.07,Night,50,44,0,0.2,100,0,Below Average
Delhi,18-08-2024,6,28.66329082,77.12178893,6.53,Economy,Rainy,None,Cash,0.430698,0.519891,1.13,113.34,18,1,93.26,1000,94.08,0.708666,0.04,Morning Peak,85,47,10,0.3,100,70,Below Average
Hyderabad,05-07-2024,4,17.39994625,78.51010217,9.24,Premium,Cloudy,Festival,UPI,0.404733,0.721782,1.48,170.44,19,0,88.49,613,91.64,0.826644,0.01,Night,80,71,15,0.1,100,100,Below Average
Chennai,13-05-2024,0,13.12941973,80.22818142,5.69,Luxury,Clear,Concert,Cash,0.662314,0.979963,1.48,137.03,10,0,87.72,738,89.9,0.94483,0.05,Afternoon,80,57,15,0.1,100,20,Below Average
Chennai,15-01-2025,2,13.05534696,80.28915981,15.87,Premium,Cloudy,Concert,UPI,0.931492,0.709226,1,204.57,3,0,93.87,774,93.91,0.73123,0.06,Afternoon,80,47,15,0.2,100,70,Below Average
Delhi,04-06-2024,1,28.70468513,77.07039693,1.42,Premium,Stormy,Festival,Card,0.774512,0.804085,1.04,51.17,14,0,87.19,579,89.53,0.990713,0.05,Evening Peak,100,53,25,0.3,100,0,Below Average
Mumbai,05-06-2024,2,19.02783131,72.84511081,4.71,Economy,Stormy,Concert,Card,0.243235,0.471636,1.34,129.34,7,0,91.52,833,92.26,0.730086,0.06,Morning Peak,100,92,25,0.3,100,100,Below Average
Chennai,25-04-2024,3,13.05969311,80.25762455,16.85,Luxury,Rainy,None,UPI,0.949055,0.7345,1,215.35,13,0,80.77,718,85.94,0.912166,0.02,Morning Peak,85,64,10,0.3,100,100,Below Average
Mumbai,27-08-2024,1,19.07722504,72.92357989,2.88,Economy,Rainy,IPL Match,Card,0.608459,0.674165,1.1,82.02,16,0,82.06,653,86.84,0.866513,0.02,Evening Peak,100,70,25,0.3,0,100,Below Average
Hyderabad,23-03-2025,6,17.35289476,78.48883352,7.52,Economy,Cloudy,None,Cash,0.465722,0.627027,1.24,123.6,22,1,93.08,918,94.86,0.905997,0.01,Morning Peak,65,37,10,0.2,100,100,Below Average
Delhi,02-04-2024,1,28.66346845,77.07641253,17.46,Premium,Cloudy,None,Cash,0.531773,0.758681,1.34,280.86,17,0,82.97,526,85.68,0.857871,0.08,Night,50,61,0,0.1,100,65,Below Average
Mumbai,20-08-2024,1,19.05603892,72.88545425,5.48,Premium,Stormy,Concert,UPI,0.378224,0.879927,1.75,185.08,13,0,82.76,923,85.23,0.721075,0.09,Morning Peak,100,58,25,0.3,100,0,Below Average
Bangalore,30-11-2024,5,12.92906302,77.55112132,14.44,Premium,Rainy,Concert,Cash,0.484425,0.581346,1.15,259.58,3,1,88.03,688,90.12,0.834852,0.05,Afternoon,100,36,15,0.3,100,0,Below Average
Hyderabad,17-12-2024,1,17.4106103,78.48254346,15.38,Luxury,Cloudy,Concert,UPI,0.661119,0.624244,1,170.42,20,0,80.35,887,84.74,0.948344,0.05,Morning Peak,95,71,25,0.1,82.9,40,Below Average
Mumbai,03-01-2025,4,19.06289818,72.84224448,2.65,Premium,Rainy,IPL Match,Card,0.538838,0.752027,1.32,94.78,10,0,98.78,920,97.05,0.92447,0.07,Night,100,30,15,0.3,100,100,Below Average
Mumbai,29-11-2024,4,19.09332403,72.87317783,10.43,Luxury,Rainy,Political Rally,UPI,0.935903,0.768042,1,165.16,1,0,91.91,828,93.74,0.976546,0.02,Evening Peak,100,79,25,0.3,27.3,100,Below Average
Bangalore,13-03-2025,3,12.95656845,77.61854095,9.17,Economy,Cloudy,Political Rally,Card,0.417649,0.531606,1.17,183.94,2,0,97.33,697,97.23,0.765706,0.03,Night,80,83,15,0.1,100,30,Below Average
Hyderabad,04-02-2025,1,17.39208674,78.48714923,19.78,Luxury,Stormy,Political Rally,Card,0.688498,0.834583,1.22,256.22,2,0,90.34,774,91.74,0.714072,0.05,Morning Peak,100,73,25,0.3,100,100,Below Average
Delhi,27-03-2024,2,28.72853947,77.07590726,19.28,Premium,Rainy,Political Rally,Cash,0.758788,0.60793,1,227.8,4,0,91.19,546,93.83,0.798031,0,Evening Peak,100,66,25,0.3,100,0,Average
Chennai,18-09-2024,2,13.07223279,80.29206399,7.15,Economy,Cloudy,None,Cash,0.980253,0.813903,1,108.65,22,0,97.73,849,97.21,0.970361,0.04,Evening Peak,65,43,10,0.2,100,85,Below Average
Delhi,26-09-2024,3,28.66933183,77.14480091,9,Economy,Cloudy,IPL Match,UPI,0.26922,0.461919,1.29,161.25,1,0,92.15,826,93.91,0.723326,0.02,Night,80,38,15,0.2,100,0,Below Average
Hyderabad,25-03-2024,0,17.34367579,78.50704667,1.43,Premium,Clear,Festival,Cash,0.523967,0.66848,1.22,54.74,4,0,89,854,91.7,0.769679,0.02,Evening Peak,95,54,25,0.1,100,5,Below Average
Bangalore,29-10-2024,1,13.01866124,77.56907463,14.68,Premium,Rainy,Festival,Card,0.381074,0.481125,1.15,263.17,17,0,80.23,965,84.96,0.927378,0.04,Morning Peak,100,59,25,0.3,85.8,0,Below Average
Bangalore,21-07-2024,6,12.93405434,77.56418419,6.08,Economy,Rainy,IPL Match,Cash,0.732187,0.496234,1,117.04,8,1,90.55,995,93.38,0.757173,0,Afternoon,100,77,15,0.3,95.9,30,Below Average
Chennai,03-08-2024,5,13.06882368,80.26379464,19.7,Luxury,Clear,Political Rally,Cash,0.354959,0.447567,1.14,281.24,0,1,82.3,714,86.11,0.88842,0.05,Night,80,66,15,0.1,100,0,Below Average
Mumbai,05-03-2025,2,19.10973445,72.85953185,4.93,Economy,Stormy,Political Rally,Cash,0.885861,0.859315,1,99.16,2,0,97.74,902,96.32,0.989994,0.07,Evening Peak,100,68,25,0.3,100,100,Below Average
Mumbai,17-07-2024,2,19.03089131,72.90292706,2.67,Premium,Clear,Political Rally,UPI,0.734364,0.929202,1.29,92.93,17,0,96.25,517,96.47,0.7763,0.03,Evening Peak,95,31,25,0.2,100,100,Below Average
Mumbai,05-04-2024,4,19.06688524,72.87278196,17.81,Luxury,Stormy,Festival,Card,0.594487,0.979877,1.58,400.88,1,0,96.99,715,96.99,0.739031,0.03,Afternoon,100,83,15,0.3,100,75,Below Average
Hyderabad,01-01-2025,2,17.42376468,78.48154022,14.59,Luxury,Clear,Concert,Cash,0.517529,0.43751,1,163.31,0,0,98.99,819,98.99,0.838915,0.01,Morning Peak,95,80,25,0.1,100,0,Below Average
Chennai,07-02-2025,4,13.08016469,80.22674946,14.35,Premium,Cloudy,Festival,UPI,0.927315,0.441227,1,187.85,21,0,93.14,947,92.8,0.878857,0.08,Night,80,50,15,0.2,100,35,Below Average
Chennai,12-04-2024,4,13.05064395,80.31590487,15.73,Premium,Rainy,None,Card,0.209206,0.501641,1.44,292.36,16,0,95.33,866,96.43,0.730543,0.01,Night,70,68,0,0.5,100,100,Below Average
Delhi,23-03-2025,6,28.70124779,77.14294768,10.27,Luxury,Clear,IPL Match,Card,0.660274,0.765235,1.16,159.73,16,1,90.97,768,92.18,0.706182,0.05,Morning Peak,95,44,25,0.2,95.9,25,Below Average
Bangalore,19-07-2024,4,12.94623492,77.57209656,8.28,Economy,Rainy,Festival,Cash,0.495919,0.614409,1.18,171.86,16,0,97.39,570,95.77,0.754219,0.08,Evening Peak,100,49,25,0.3,100,5,Below Average
Hyderabad,08-07-2024,0,17.40761919,78.50162101,19.95,Luxury,Stormy,None,Card,0.513579,0.91728,1.61,340.6,0,0,99.9,647,99.63,0.730065,0.01,Morning Peak,85,78,10,0.3,100,100,Below Average
Chennai,06-01-2025,0,13.11037406,80.28224561,14.48,Luxury,Rainy,Festival,UPI,0.644716,0.927847,1.42,268.78,0,0,94.67,603,94.77,0.896755,0.05,Morning Peak,100,96,25,0.3,100,100,Below Average
Hyderabad,04-10-2024,4,17.37105577,78.49346776,9.3,Luxury,Clear,Concert,Cash,0.24359,0.518896,1.41,163.14,16,0,93.95,932,93.36,0.751574,0.08,Evening Peak,95,48,25,0.2,100,100,Below Average
Mumbai,23-01-2025,3,19.0931093,72.84400945,13.75,Premium,Clear,IPL Match,Cash,0.201672,0.445503,1.37,280.85,7,0,83.74,999,88.32,0.997335,0.01,Afternoon,80,50,15,0.2,100,100,Below Average
Bangalore,12-09-2024,3,12.94209293,77.56359367,1.66,Economy,Cloudy,None,Card,0.340824,0.928362,1.88,112.01,8,0,83.73,504,85.91,0.760187,0.09,Evening Peak,65,68,10,0.1,100,100,Below Average
Bangalore,19-07-2024,4,12.98489071,77.59074901,12.54,Luxury,Clear,Festival,UPI,0.839798,0.955846,1.17,235.19,18,0,87.21,645,88.95,0.805956,0.07,Evening Peak,95,45,25,0.2,100,40,Below Average
Mumbai,13-11-2024,2,19.10688076,72.85484126,14.77,Luxury,Clear,Festival,Card,0.875214,0.50852,1,217.24,7,0,80.91,958,85.14,0.997854,0.05,Afternoon,80,31,15,0.2,100,0,Below Average
Bangalore,05-06-2024,2,12.94452402,77.55267322,1.76,Premium,Stormy,Political Rally,Card,0.673145,0.819978,1.22,74.27,16,0,99.72,886,98.9,0.739567,0.03,Morning Peak,100,44,25,0.3,100,100,Below Average
Chennai,24-02-2025,0,13.08159768,80.31824099,9.04,Economy,Rainy,Political Rally,Cash,0.358144,0.886506,1.79,231.7,2,0,87.02,797,89.11,0.845003,0.06,Evening Peak,100,41,25,0.3,100,0,Below Average
Mumbai,30-11-2024,5,19.03581159,72.86784695,15.87,Economy,Cloudy,IPL Match,Card,0.837063,0.634109,1,230.44,13,1,97.81,816,96.97,0.836049,0.05,Evening Peak,95,100,25,0.1,100,100,Below Average
Bangalore,15-06-2024,5,13.00602881,77.61007487,3.41,Luxury,Stormy,IPL Match,Card,0.474895,0.950209,1.71,140.78,12,1,99.04,624,98.13,0.816268,0.04,Morning Peak,100,38,25,0.3,100,100,Below Average
Bangalore,05-02-2025,2,12.96992878,77.59661167,9.64,Luxury,Rainy,Festival,Card,0.893389,0.453617,1,163.32,18,0,84.33,514,88.13,0.940673,0.03,Afternoon,100,58,15,0.3,100,100,Below Average
Delhi,06-02-2025,3,28.68250317,77.07361996,14.76,Economy,Clear,Festival,Card,0.908409,0.63788,1,182.6,11,0,82.41,615,86.49,0.980493,0.04,Afternoon,80,38,15,0.2,100,100,Below Average
Mumbai,04-11-2024,0,19.04795105,72.89708766,12.75,Premium,Clear,IPL Match,Card,0.968346,0.584689,1,193,5,0,94.09,821,93.76,0.703637,0.07,Evening Peak,95,66,25,0.1,100,0,Below Average
Chennai,22-12-2024,6,13.07613924,80.29003479,19.27,Economy,Cloudy,Political Rally,Cash,0.654283,0.447985,1,241.97,10,1,96.38,954,94.47,0.71016,0.1,Morning Peak,95,30,25,0.2,100,50,Below Average
Chennai,15-09-2024,6,13.11357231,80.30505656,9.36,Luxury,Rainy,Political Rally,Cash,0.292136,0.486391,1.29,171.52,22,1,88.24,777,88.77,0.934982,0.1,Night,100,51,15,0.3,100,60,Below Average
Bangalore,18-04-2024,3,13.01658643,77.55122586,0.82,Premium,Rainy,Concert,UPI,0.566032,0.7412,1.26,61.31,6,0,87.54,975,90.68,0.882435,0.02,Evening Peak,100,39,25,0.3,100,0,Below Average
Delhi,15-01-2025,2,28.65429293,77.06123173,5.26,Economy,Rainy,Political Rally,Cash,0.469965,0.420284,1,87.6,19,0,80.29,930,84.4,0.969896,0.06,Afternoon,100,48,15,0.3,100,100,Below Average
Delhi,23-04-2024,1,28.67098542,77.06369868,8.93,Premium,Stormy,Festival,Card,0.215223,0.516926,1.45,180.23,10,0,97.35,971,97.54,0.748198,0.02,Evening Peak,100,94,25,0.3,100,65,Below Average
Delhi,01-11-2024,4,28.74271359,77.15065707,13.52,Luxury,Rainy,Concert,UPI,0.515066,0.646318,1.2,204.24,16,0,85.9,577,88.63,0.9078,0.05,Night,100,46,15,0.3,100,0,Below Average
Chennai,04-03-2025,1,13.11633165,80.27221666,13.12,Premium,Cloudy,Political Rally,Card,0.990707,0.471001,1,174.32,1,0,85.53,780,89.57,0.982634,0.01,Morning Peak,95,70,25,0.1,100,100,Below Average
Hyderabad,14-04-2024,6,17.38282895,78.50219522,1.75,Economy,Rainy,Festival,Cash,0.90279,0.549955,1,47.75,23,1,96.63,697,94.94,0.770554,0.09,Evening Peak,100,68,25,0.3,100,100,Below Average
Bangalore,07-10-2024,0,12.92400672,77.58641923,4.21,Luxury,Stormy,Concert,Card,0.396343,0.583783,1.28,118.69,11,0,85.01,962,86.81,0.747701,0.09,Night,100,82,15,0.3,100,45,Below Average
Hyderabad,07-03-2025,4,17.42067182,78.51877311,15.2,Premium,Cloudy,None,Card,0.537293,0.648421,1.17,197.5,7,0,90.84,936,92.09,0.706241,0.05,Night,50,97,0,0.1,100,100,Below Average
Delhi,30-10-2024,2,28.72563151,77.06464369,12.73,Premium,Clear,Political Rally,UPI,0.655049,0.760269,1.16,188.27,2,0,80.28,672,83.2,0.816764,0.1,Afternoon,80,80,15,0.1,100,100,Below Average
Hyderabad,05-04-2024,4,17.36945484,78.5269057,8.23,Economy,Clear,IPL Match,Cash,0.628228,0.568826,1,106.07,21,0,88.57,982,90.2,0.843514,0.06,Evening Peak,95,37,25,0.2,100,55,Below Average
Hyderabad,21-03-2025,4,17.3516598,78.50212687,19.09,Economy,Clear,Festival,UPI,0.317083,0.869161,1.83,372.97,14,0,89.76,921,91.03,0.983504,0.06,Afternoon,80,30,15,0.2,100,0,Below Average
